RA ,DEC ,D ,AbsBMag
124.8471 ,-85.1456 ,    6.70 ,   -14.8
184.6921 ,-79.7261 ,    2.27 ,   -14.8
141.5479 ,-76.6264 ,    3.78 ,   -16.1
 13.1583 ,-72.8003 ,    0.06 ,   -16.5
 80.8942 ,-69.7561 ,    0.05 ,   -17.9
313.0258 ,-69.2039 ,    6.03 ,   -18.1
112.8304 ,-68.1861 ,    4.57 ,   -15.0
277.1583 ,-66.9822 ,    7.94 ,   -17.4
 49.5642 ,-66.4975 ,    4.07 ,   -19.0
294.4067 ,-65.8119 ,    7.30 ,   -15.3
213.2887 ,-65.3392 ,    4.20 ,   -20.7
282.2412 ,-65.1733 ,    8.70 ,   -18.7
266.7763 ,-64.6403 ,    2.44 ,   -15.5
287.4413 ,-63.8578 ,    8.30 ,   -21.0
302.3825 ,-61.8506 ,    9.80 ,   -16.4
 39.4375 ,-61.3411 ,    4.99 ,   -15.5
245.2471 ,-60.4875 ,    6.40 ,   -18.1
 62.4658 ,-56.1183 ,   19.40 ,   -19.9
 62.2254 ,-55.9922 ,   19.20 ,   -16.5
 44.2100 ,-54.5731 ,    5.55 ,   -16.3
324.1192 ,-54.5572 ,    6.70 ,   -18.6
 73.5571 ,-53.3614 ,    5.11 ,   -15.9
 50.0308 ,-52.1850 ,    5.20 ,   -15.3
330.6746 ,-51.2953 ,    1.97 ,   -15.6
 53.2992 ,-50.4106 ,    6.05 ,   -16.0
196.3587 ,-49.4711 ,    3.80 ,   -20.5
224.6262 ,-47.6986 ,    9.90 ,   -18.6
197.6371 ,-46.9908 ,    3.80 ,   -15.1
228.5563 ,-46.8125 ,    3.09 ,   -17.6
335.2392 ,-46.0342 ,    8.80 ,   -18.8
203.6971 ,-45.5475 ,    3.60 ,   -17.1
 26.2650 ,-43.5981 ,    4.43 ,   -15.6
204.4121 ,-42.8475 ,    3.40 ,   -14.9
201.9058 ,-41.4806 ,    3.73 ,   -15.5
 23.7708 ,-41.4364 ,    3.89 ,   -16.4
210.8396 ,-41.3764 ,    4.81 ,   -16.5
 49.3275 ,-41.1081 ,    8.80 ,   -20.4
 47.4075 ,-41.0306 ,    9.80 ,   -17.1
345.6967 ,-40.8350 ,   10.10 ,   -18.2
  3.7854 ,-39.2203 ,    2.13 ,   -18.4
161.9246 ,-38.8542 ,    6.50 ,   -14.4
354.0625 ,-37.9389 ,    7.80 ,   -18.4
 13.7229 ,-37.6825 ,    2.15 ,   -17.9
351.7337 ,-37.3469 ,    7.60 ,   -14.8
