# Table 1
# Data for Selected Gas-rich Galaxies
#
# Galaxy D	V_f	        log (M_*) err		log (M_g) err	
#	(Mpc)	(km s^-1)	(M_sun)			(M_sun)		
DDO210 	0.94 	17  4 		5.88  0.15 		6.64  0.20
CamB 	3.34 	20  12		6.99  0.15 		7.33  0.20
UGC8215 4.5 	20  6 		6.81  0.15 		7.45  0.20 
DDO183 	3.24 	25  3 		7.24  0.15 		7.54  0.20 
UGC8833 3.2 	27  4 		6.94  0.15 		7.30  0.20 
D564-8 	6.5 	29  5 		6.76  0.20 		7.32  0.13 
DDO181 	3.1 	30  6 		7.26  0.15 		7.56  0.20 
P51659 	3.6 	31  4 		6.67  0.15 		7.85  0.20 
KK98246 7.83 	35  6 		7.72  0.15 		7.93  0.20 
UGCA92 	3.01 	37  4 		7.78  0.15 		8.32  0.20 
D512-2 	14.1 	37  7 		7.58  0.20 		7.96  0.06 
UGCA444 0.95 	38  5 		7.34  0.15 		7.75  0.20 
KK98251 5.6 	38  5 		7.34  0.15 		8.02  0.20 
UGC7242 5.4 	40  4 		7.57  0.15 		7.78  0.20 
UGC6145 7.4 	41  4 		7.20  0.15 		7.56  0.20 
NGC3741 3.0 	44  3 		7.24  0.15 		8.45  0.20
D500-3 	18.5 	45  6	 	6.97  0.20 		7.94  0.05 
D631-7 	5.5 	53  5 		6.88  0.20 		8.29  0.15 
DDO168 	4.3 	54  3 		8.07  0.15 		8.74  0.20 
KKH11 	3.0 	56  5 		7.28  0.15 		7.85  0.20 
UGC8550 5.1 	58  3 		8.25  0.37 		8.46  0.39 
D57-2 	12.2 	59  7 		7.63  0.20 		8.62  0.07 
UGC4115 7.5 	59  6 		7.77  0.15 		8.58  0.20 
UGC3851 3.2 	60  5 		8.45  0.15 		9.09  0.20 
UGC9211 12.6 	64  5 		8.12  0.39 		9.21  0.41 
NGC3109 1.3 	66  3 		7.41  0.15 		8.79  0.20 
UGC8055 17.4 	66  7 		8.09  0.15		9.02  0.20 
D500-2 	17.9 	68  7 		7.41  0.20 		9.06  0.05 
IC2574 	4.0 	68  5 		8.94  0.15		9.20  0.20 
UGC6818 18.6 	72  6 		9.22  0.16 		9.28  0.20 
UGC4499 13.0 	74  3 		8.75  0.27 		9.32  0.29 
NGC1560 3.45 	77  3 		8.70  0.15 		9.23  0.20 
UGC8490 4.65 	78  3 		8.36  0.15 		8.96  0.20 
UGC5721 6.5 	79  3 		8.17  0.37 		9.05  0.39 
F565-V2 48. 	83  8 		8.30  0.21 		9.04  0.24 
F571-V1 79. 	83  5 		9.00  0.19 		9.33  0.22 
IC2233 10.4 	84  5 		8.96  0.15 		9.32  0.20 
NGC2915 3.78 	84  10 		7.99  0.15 		8.78  0.20 
NGC5585 5.7 	90  3 		8.98  0.38 		9.27  0.40 
UGC3711 7.9 	95  3 		8.92  0.15 		9.01  0.17 
UGC6983 18.6 	108 3 		9.53  0.16 		9.74  0.20 
F563-V2 61. 	111 5 		9.41  0.17 		9.63  0.21 
F568-1 85. 	118 4 		9.50  0.18 		9.87  0.22 
F568-3 77. 	120 6 		9.62  0.18 		9.71  0.22 
F568-V1 80. 	124 5 		9.38  0.18 		9.65  0.22 
NGC2403 3.18 	134 3 		9.61  0.15 		9.77  0.20 
NGC3198 14.5 	149 3 		10.12 0.15 		10.29 0.20
